Defaulted container "osu" out of: osu, flux-view (init)
#!/bin/bash
set -euo pipefail
mkdir -p /tmp/output
flux resource list
# At most 28 combinations, 8 nodes 2 at a time
hosts=$(flux run -N32 hostname | shuf -n 8 | tr '\n' ' ')
list=${hosts}
dequeue_from_list() {
  shift;
  list=$@
}
iter=0
for i in $hosts; do
  dequeue_from_list $list
  for j in $list; do
    echo "FLUX-RUN START osu-iter-${i} ${j}"
    flux run -N 2 -n 2        --setattr=user.study_id=osu-iter-$i       --requires="hosts:${i},${j}"       -o cpu-affinity=per-task -o gpu-affinity=off          /opt/osu-benchmark/build.openmpi/mpi/pt2pt/osu_latency
    iter=$((iter+1))
    echo "FLUX-RUN END osu-iter-${i} ${j}"
done
done



output=./results/${app}
(apt-get update && apt-get install -y jq) || (yum update -y && yum install -y jq)
mkdir -p $output
for jobid in $(flux jobs -a --json | jq -r .jobs[].id); do
    echo
    study_id=$(flux job info $jobid jobspec | jq -r ".attributes.user.study_id")
    echo "FLUX-JOB START ${jobid} ${study_id}"
    echo "FLUX-JOB-JOBSPEC START"
    flux job info $jobid jobspec
    echo "FLUX-JOB-JOBSPEC END" 
    
    echo "FLUX-JOB-RESOURCES START"
    flux job info ${jobid} R
    echo "FLUX-JOB-RESOURCES END"
    echo "FLUX-JOB-EVENTLOG START" 
    flux job info $jobid guest.exec.eventlog
    echo "FLUX-JOB-EVENTLOG END" 
    echo "FLUX-JOB END ${jobid} ${study_id}"
done
echo "FLUX JOB STATS"
flux job stats         

     STATE NNODES   NCORES    NGPUS NODELIST
      free     32     2816        0 osu-[0-31]
 allocated      0        0        0 
      down      0        0        0 
FLUX-RUN START osu-iter-osu-31 osu-8
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      23.49
1                      23.17
2                      23.10
4                      23.21
8                      23.35
16                     23.33
32                     23.32
64                     23.33
128                    23.59
256                    25.00
512                    25.14
1024                   25.42
2048                   27.09
4096                   28.42
8192                   31.19
16384                  41.15
32768                  51.51
65536                 113.42
131072                143.47
262144                193.19
524288                279.83
1048576               436.43
2097152               752.38
4194304              1289.96
FLUX-RUN END osu-iter-osu-31 osu-8
FLUX-RUN START osu-iter-osu-31 osu-17
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      18.88
1                      18.87
2                      18.93
4                      19.01
8                      19.05
16                     18.98
32                     18.98
64                     19.01
128                    19.18
256                    20.37
512                    20.63
1024                   20.83
2048                   22.28
4096                   23.40
8192                   25.94
16384                  38.18
32768                  41.83
65536                  98.54
131072                129.92
262144                177.27
524288                261.67
1048576               417.44
2097152               736.37
4194304              1301.37
FLUX-RUN END osu-iter-osu-31 osu-17
FLUX-RUN START osu-iter-osu-31 osu-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      19.02
1                      18.93
2                      18.97
4                      19.08
8                      18.94
16                     19.05
32                     19.10
64                     19.19
128                    19.25
256                    20.76
512                    21.00
1024                   21.09
2048                   22.49
4096                   23.67
8192                   26.23
16384                  38.80
32768                  36.54
65536                  98.79
131072                130.12
262144                177.15
524288                260.84
1048576               416.52
2097152               745.69
4194304              1314.48
FLUX-RUN END osu-iter-osu-31 osu-20
FLUX-RUN START osu-iter-osu-31 osu-26
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      23.21
1                      23.32
2                      23.32
4                      23.31
8                      23.18
16                     23.05
32                     22.83
64                     22.90
128                    23.22
256                    24.56
512                    24.98
1024                   25.04
2048                   26.33
4096                   27.89
8192                   30.86
16384                  41.35
32768                  48.39
65536                 111.94
131072                144.08
262144                192.05
524288                277.33
1048576               436.92
2097152               751.14
4194304              1269.78
FLUX-RUN END osu-iter-osu-31 osu-26
FLUX-RUN START osu-iter-osu-31 osu-23
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      23.04
1                      22.91
2                      23.07
4                      22.95
8                      22.91
16                     22.94
32                     22.90
64                     23.09
128                    23.27
256                    24.49
512                    24.64
1024                   25.01
2048                   26.44
4096                   28.06
8192                   30.85
16384                  41.55
32768                  44.81
65536                 111.99
131072                143.22
262144                191.00
524288                273.09
1048576               427.25
2097152               737.28
4194304              1296.86
FLUX-RUN END osu-iter-osu-31 osu-23
FLUX-RUN START osu-iter-osu-31 osu-1
