Defaulted container "osu" out of: osu, flux-view (init)
#!/bin/bash
set -euo pipefail
mkdir -p /tmp/output
flux resource list
# At most 28 combinations, 8 nodes 2 at a time
hosts=$(flux run -N64 hostname | shuf -n 8 | tr '\n' ' ')
list=${hosts}
dequeue_from_list() {
  shift;
  list=$@
}
iter=0
for i in $hosts; do
  dequeue_from_list $list
  for j in $list; do
    echo "FLUX-RUN START osu-iter-${i} ${j}"
    flux run -N 2 -n 2        --setattr=user.study_id=osu-iter-$i       --requires="hosts:${i},${j}"       -o cpu-affinity=per-task -o gpu-affinity=off          /opt/osu-benchmark/build.openmpi/mpi/pt2pt/osu_latency
    iter=$((iter+1))
    echo "FLUX-RUN END osu-iter-${i} ${j}"
done
done



output=./results/${app}
(apt-get update && apt-get install -y jq) || (yum update -y && yum install -y jq)
mkdir -p $output
for jobid in $(flux jobs -a --json | jq -r .jobs[].id); do
    echo
    study_id=$(flux job info $jobid jobspec | jq -r ".attributes.user.study_id")
    echo "FLUX-JOB START ${jobid} ${study_id}"
    echo "FLUX-JOB-JOBSPEC START"
    flux job info $jobid jobspec
    echo "FLUX-JOB-JOBSPEC END" 
    
    echo "FLUX-JOB-RESOURCES START"
    flux job info ${jobid} R
    echo "FLUX-JOB-RESOURCES END"
    echo "FLUX-JOB-EVENTLOG START" 
    flux job info $jobid guest.exec.eventlog
    echo "FLUX-JOB-EVENTLOG END" 
    echo "FLUX-JOB END ${jobid} ${study_id}"
done
echo "FLUX JOB STATS"
flux job stats         

     STATE NNODES   NCORES    NGPUS NODELIST
      free     64     5632        0 osu-[0-63]
 allocated      0        0        0 
      down      0        0        0 
FLUX-RUN START osu-iter-osu-30 osu-58
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      23.49
1                      23.42
2                      23.23
4                      23.23
8                      23.24
16                     23.31
32                     23.37
64                     23.40
128                    23.51
256                    25.02
512                    25.17
1024                   25.53
2048                   26.92
4096                   28.18
8192                   31.17
16384                  41.54
32768                  47.23
65536                 112.26
131072                140.16
262144                187.56
524288                270.63
1048576               411.83
2097152               709.28
4194304              1240.63
FLUX-RUN END osu-iter-osu-30 osu-58
FLUX-RUN START osu-iter-osu-30 osu-1
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      18.93
1                      18.93
2                      18.94
4                      19.10
8                      19.01
16                     19.02
32                     19.00
64                     19.30
128                    19.63
256                    21.02
512                    20.84
1024                   20.98
2048                   22.00
4096                   23.29
8192                   25.56
16384                  38.45
32768                  44.12
65536                  97.64
131072                125.58
262144                170.58
524288                250.21
1048576               388.59
2097152               675.47
4194304              1200.75
FLUX-RUN END osu-iter-osu-30 osu-1
FLUX-RUN START osu-iter-osu-30 osu-21
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      23.20
1                      23.53
2                      23.44
4                      23.52
8                      23.30
16                     23.39
32                     23.06
64                     23.20
128                    23.17
256                    24.97
512                    24.98
1024                   24.99
2048                   26.27
4096                   27.47
8192                   30.28
16384                  41.60
32768                  51.75
65536                 111.05
131072                139.18
262144                185.21
524288                264.04
1048576               403.58
2097152               696.91
4194304              1277.05
FLUX-RUN END osu-iter-osu-30 osu-21
FLUX-RUN START osu-iter-osu-30 osu-23
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      23.36
1                      23.37
2                      23.34
4                      23.35
8                      23.38
16                     23.42
32                     23.46
64                     23.48
128                    23.68
256                    24.77
512                    25.04
1024                   25.31
2048                   26.83
4096                   27.94
8192                   30.90
